"Side-effect","Total","Deaths"
"Puncture site swelling",1,0
"Application site haemorrhage",1,0
"Application site hypersensitivity",1,0
"Application site inflammation",1,0
"Application site irritation",1,0
"Application site joint pain",1,0
"Application site reaction",1,0
"Application site vesicles",1,0
"Application site warmth",1,0
"Application site wound",1,0
"Instillation site discomfort",1,0
"Instillation site pruritus",1,0
"Medical device site joint pain",1,0
"Drowning",1,0
"Masked fever",1,0
"Early satiety",1,0
"Apparent death",1,0
"Chronic disease",1,0
"Developmental delay",1,0
"Organ failure",1,0
"Pre-existing condition improved",1,0
"Stenosis",1,0
"Symptom recurrence",1,0
"Tissue discolouration",1,0
"Tissue infiltration",1,0
"Unevaluable event",1,0
"Hernia",1,0
"Catheter site urticaria",1,0
"Implant site coldness",1,0
"Implant site discharge",1,0
"Implant site hypoaesthesia",1,0
"Implant site rash",1,0
"Systemic inflammatory response syndrome",1,0
"Infusion site bruising",1,0
"Infusion site nodule",1,0
"Infusion site urticaria",1,0
"Injection site cyst",1,0
"Injection site exfoliation",1,0
"Injection site haemorrhage",1,0
"Injection site induration",1,0
"Injection site injury",1,0
"Injection site movement impairment",1,0
"Injection site muscle weakness",1,0
"Mucosal disorder",1,0
"Mucosal dryness",1,0
"Mucosal pain",1,0
"Mucosal ulceration",1,0
"Hernia pain",1,0
"Visceral pain",1,0
"Diet failure",1,0
"Immediate post-injection reaction",1,0
"Therapeutic product effect decreased",1,0
"Therapeutic reaction time decreased",1,0
"Therapeutic response shortened",1,0
"Therapy non-responder",1,0
"Vaccine positive rechallenge",1,0
"Atrophy",1,0
"Calcinosis",1,0
"Ulcer haemorrhage",1,0
"Vaccination site coldness",1,0
"Vaccination site cyst",1,0
"Vaccination site discharge",1,0
"Vaccination site extravasation",1,0
"Vaccination site hyperaesthesia",1,0
"Vaccination site joint erythema",1,0
"Vaccination site joint warmth",1,0
"Vascular stent occlusion",1,0
"Cholangitis",1,0
"Ocular icterus",1,0
"Hepatic function abnormal",1,0
"Hepatic failure",1,0
"Subacute hepatic failure",1,0
"Hepatitis acute",1,0
"Allergy to metals",1,0
"Allergy to sting",1,0
"Allergy to venom",1,0
"Dust allergy",1,0
"Allergic reaction to excipient",1,0
"Contrast media reaction",1,0
"Immunisation reaction",1,0
"Pre-engraftment immune reaction",1,0
"Immunodeficiency",1,0
"Corneal graft rejection",1,0
"Transplant rejection",1,0
"Anal abscess",1,0
"Administration site cellulitis",1,0
"Perichondritis",1,0
"Pneumonia bacterial",1,0
"Urinary tract infection bacterial",1,0
"Intervertebral discitis",1,0
"Pertussis",1,0
"Erythema migrans",1,0
"Anal candidiasis",1,0
"Balanitis candida",1,0
"Skin candida",1,0
"Chlamydial infection",1,0
"Clostridium difficile colitis",1,0
"Diphtheria",1,0
"Abscess oral",1,0
"Lip infection",1,0
"Pericoronitis",1,0
"Mastoiditis",1,0
"Otitis externa",1,0
"Acarodermatitis",1,0
"Trombidiasis",1,0
"Epstein-Barr virus infection",1,0
"Escherichia sepsis",1,0
"Eyelid boil",1,0
"Keratouveitis",1,0
"Vaginal abscess",1,0
"Vaginal infection",1,0
"Yellow fever",1,0
"Yellow fever vaccine-associated neurotropic disease",1,0
"Severe asthma with fungal sensitisation",1,0
"Tonsillitis fungal",1,0
"Hepatitis E",1,0
"Eczema herpeticum",1,0
"Genital herpes simplex",1,0
"Ophthalmic herpes zoster",1,0
"Catheter site infection",1,0
"Coinfection",1,0
"Genital abscess",1,0
"Infected cyst",1,0
"Injection site abscess",1,0
"Lymph gland infection",1,0
"Omphalitis",1,0
"Pathogen resistance",1,0
"Toxic shock syndrome",1,0
"Vestibulitis",1,0
"H2N2 influenza",1,0
"Infectious pleural effusion",1,0
"Infective exacerbation of bronchiectasis",1,0
"Epididymitis",1,0
"Orchitis",1,0
"Muscle abscess",1,0
"Malaria",1,0
"Pneumocystis jirovecii pneumonia",1,0
"Acquired immunodeficiency syndrome",1,0
"HIV-associated neurocognitive disorder",1,0
"Measles",1,0
"Typhoid fever",1,0
"Sepsis syndrome",1,0
"Septic shock",1,0
"Staphylococcal scalded skin syndrome",1,0
"Staphylococcal sepsis",1,1
"Toxic shock syndrome staphylococcal",1,0
"Cellulitis streptococcal",1,0
"Erysipelas",1,0
"Scarlet fever",1,0
"Tonsillitis streptococcal",1,0
"Tinea cruris",1,0
"Tinea infection",1,0
"Syphilis",1,0
"Epiglottitis",1,0
"Sinobronchitis",1,0
"Tracheitis",1,0
"Infected lymphocele",1,0
"Arthritis viral",1,0
"Encephalitis viral",1,0
"Viral myocarditis",1,0
"Viral sepsis",1,0
"Viral tonsillitis",1,0
"Abdomen crushing",1,0
"Lip injury",1,0
"Palate injury",1,0
"Splenic rupture",1,0
"Anaesthetic complication",1,0
"Anaesthetic complication neurological",1,0
"Sedation complication",1,0
"Barotrauma",1,0
"Bursa injury",1,0
"Heart injury",1,0
"Brain herniation",1,0
"Concussion",1,0
"Craniocerebral injury",1,0
"Subarachnoid haematoma",1,0
"Subdural haemorrhage",1,0
"Chemical phlebitis",1,0
"Traumatic lung injury",1,0
"Optic nerve injury",1,0
"Maternal exposure timing unspecified",1,0
"Paternal exposure before pregnancy",1,0
"Foreign body in eye",1,0
"Periorbital haematoma",1,0
"Periorbital haemorrhage",1,0
"Retinal injury",1,0
"Superficial injury of eye",1,0
"Heat illness",1,0
"Lower limb fracture",1,0
"Patella fracture",1,0
"Upper limb fracture",1,0
"Device use issue",1,0
"Intercepted medication error",1,0
"Product use issue",1,0
"Vaccination error",1,0
"Ligament rupture",1,0
"Post-traumatic neck syndrome",1,0
"Repetitive strain injury",1,0
"Tendon injury",1,0
"Exposure to chemical pollution",1,0
"Animal bite",1,0
"Bite",1,0
"Injury",1,0
"Nervous system injury",1,0
"Post concussion syndrome",1,0
"Road traffic accident",1,0
"Tissue injury",1,0
"Traumatic haematoma",1,0
"Traumatic shock",1,0
"Wound",1,0
"Procedural hypertension",1,0
"Procedural site reaction",1,0
"Suture related complication",1,0
"Occupational exposure to product",1,0
"Intentional overdose",1,0
"Ulnar nerve injury",1,0
"Chemical poisoning",1,0
"Systemic toxicity",1,0
"Duplicate therapy error",1,0
"Incorrect dose administered",1,0
"Lack of vaccination site rotation",1,0
"Product administered at inappropriate site",1,0
"Wrong patient received product",1,0
"Product label confusion",1,0
"Product monitoring error",1,0
"Product prescribing error",1,0
"Bladder injury",1,0
"Penile contusion",1,0
"Postmastectomy lymphoedema syndrome",1,0
"Pulmonary oil microembolism",1,0
"Central nervous system injury",1,0
"Face injury",1,0
"Neck crushing",1,0
"Skin laceration",1,0
"Subcutaneous haematoma",1,0
"Prevertebral soft tissue swelling of cervical space",1,0
"Spinal cord injury sacral",1,0
"Spinal compression fracture",1,0
"Spinal fracture",1,0
"Airway burns",1,0
"Intentional underdose",1,0
"Adverse event following immunisation",1,0
"Blood cortisol",1,0
"Cortisol decreased",1,0
"Cortisol increased",1,0
"Acoustic stimulation tests",1,0
"Antiphospholipid antibodies positive",1,0
"Cold agglutinins positive",1,0
"DNA antibody positive",1,0
"Full blood count decreased",1,0
"Blood gases",1,0
"Blood lactic acid",1,0
"Oxygen consumption",1,0
"Blood group O",1,0
"Scan lymph nodes",1,0
"Cardiac monitoring",1,0
"Echocardiogram",1,0
"Myocardial strain",1,0
"Magnetic resonance imaging heart",1,0
"CSF pressure",1,0
"Histamine abnormal",1,0
"Histamine level increased",1,0
"Inflammatory marker decreased",1,0
"Blood cholesterol increased",1,0
"Very low density lipoprotein decreased",1,0
"Bleeding time abnormal",1,0
"Blood fibrinogen",1,0
"Blood fibrinogen decreased",1,0
"International normalised ratio",1,0
"Prothrombin time prolonged",1,0
"Electrocardiogram T wave inversion",1,0
"Electrocardiogram change",1,0
"Semen volume decreased",1,0
"Foetal heart rate",1,0
"Gastrointestinal stoma output increased",1,0
"Swallow study",1,0
"Blood gastrin",1,0
"Blood gastrin normal",1,0
"Blood viscosity increased",1,0
"Red blood cell sedimentation rate increased",1,0
"Brachial pulse decreased",1,0
"Maximum heart rate decreased",1,0
"Orthostatic heart rate response increased",1,0
"Pulse waveform abnormal",1,0
"Scan",1,0
"Antibody test negative",1,0
"Immunology test normal",1,0
"Mast cell degranulation present",1,0
"Allergy alert test",1,0
"Skin test positive",1,0
"Investigation",1,0
"Polymerase chain reaction positive",1,0
"Blood bilirubin",1,0
"Blood bilirubin increased",1,0
"Hepatic enzyme increased",1,0
"Blood culture",1,0
"Blood iron",1,0
"Blood phosphorus decreased",1,0
"Blood phosphorus increased",1,0
"Sweat test",1,0
"Urine copper",1,0
"Skull X-ray",1,0
"Swollen joint count",1,0
"Interferon gamma release assay positive",1,0
"Coma scale abnormal",1,0
"Corneal reflex decreased",1,0
"Intraocular pressure increased",1,0
"Visual tracking test",1,0
"Body surface area",1,0
"Dermatologic examination abnormal",1,0
"Male genital examination abnormal",1,0
"Menstruation normal",1,0
"Muscle strength abnormal",1,0
"Neurological examination",1,0
"Psoriasis area severity index decreased",1,0
"Urological examination",1,0
"Blood corticotrophin",1,0
"Blood thyroid stimulating hormone decreased",1,0
"Platelet count",1,0
"Mean cell volume abnormal",1,0
"Red blood cell count",1,0
"Blood creatine increased",1,0
"Blood creatinine abnormal",1,0
"Blood creatinine decreased",1,0
"Blood creatinine increased",1,0
"Blood urea increased",1,0
"Pregnancy test negative",1,0
"Forced expiratory volume decreased",1,0
"Forced expiratory volume normal",1,0
"Maximal voluntary ventilation",1,0
"Peak expiratory flow rate",1,0
"Pulmonary function test",1,0
"Pulmonary function test decreased",1,0
"Slow vital capacity",1,0
"Total lung capacity decreased",1,0
"Sputum abnormal",1,0
"Laryngoscopy",1,0
"Blood creatine phosphokinase increased",1,0
"Myocardial necrosis marker",1,0
"Myocardial necrosis marker increased",1,0
"Troponin T",1,0
"Analgesic drug level increased",1,0
"Analgesic drug level therapeutic",1,0
"Thyroxine",1,0
"Thyroxine abnormal",1,0
"Blood lactate dehydrogenase",1,0
"Lactate dehydrogenase urine increased",1,0
"Blood carbon monoxide increased",1,0
"Blood heavy metal test",1,0
"Blood lead",1,0
"Cells in urine",1,0
"Protein urine present",1,0
"Red blood cells urine",1,0
"Urea urine increased",1,0
"Urine analysis",1,0
"Urine analysis normal",1,0
"pH urine decreased",1,0
"Abdominal bruit",1,0
"Blood pressure abnormal",1,0
"Blood pressure normal",1,0
"Capillary nail refill test",1,0
"HIV antibody negative",1,0
"Herpes virus test",1,0
"SARS-CoV-2 antibody test positive",1,0
"SARS-CoV-2 test false negative",1,0
"SARS-CoV-2 test false positive",1,0
"Blood folate",1,0
"Vitamin B12 decreased",1,0
"Blood osmolarity",1,0
"Eosinophil count increased",1,0
"Lymphocyte count",1,0
"Lymphocyte count decreased",1,0
"Tetany",1,0
"Increased insulin requirement",1,0
"Type 2 diabetes mellitus",1,0
"Euglycaemic diabetic ketoacidosis",1,0
"Electrolyte imbalance",1,0
"Hyperosmolar state",1,1
"Gluten sensitivity",1,0
"Cachexia",1,0
"Starvation",1,0
"Underweight",1,0
"Glucose tolerance impaired",1,0
"Metabolic syndrome",1,0
"Hyperlipidaemia",1,0
"Hyperinsulinaemic hypoglycaemia",1,0
"Postprandial hypoglycaemia",1,0
"Iron deficiency",1,0
"Lipoedema",1,0
"Hypomagnesaemia",1,0
"Ketoacidosis",1,0
"Ketosis",1,0
"Lactic acidosis",1,0
"Acidosis",1,0
"Hypophosphataemia",1,0
"Hypoalbuminaemia",1,0
"Hypernatraemia",1,0
"Hyponatraemic syndrome",1,0
"Hypovolaemia",1,0
"Folate deficiency",1,0
"Autoimmune arthritis",1,0
"Haemarthrosis",1,0
"Rheumatic fever",1,0
"Bone loss",1,0
"Chondritis",1,0
"Chondropathy",1,0
"Connective tissue disorder",1,0
"Mixed connective tissue disease",1,0
"Morphoea",1,0
"Scleroderma",1,0
"Epiphyses premature fusion",1,0
"Finger deformity",1,0
"Hand deformity",1,0
"Intervertebral disc protrusion",1,0
"Patellofemoral pain syndrome",1,0
"Joint effusion",1,0
"Joint vibration",1,0
"Loose body in joint",1,0
"Ligament pain",1,0
"Lupus-like syndrome",1,0
"Osteopenia",1,0
"Polymyositis",1,0
"Muscle haemorrhage",1,0
"Extremity contracture",1,0
"Infantile back arching",1,0
"Mastication disorder",1,0
"Musculoskeletal disorder",1,0
"Somatic dysfunction",1,0
"Facial asymmetry",1,0
"Head deformity",1,0
"Connective tissue inflammation",1,0
"Dactylitis",1,0
"Plantar fasciitis",1,0
"Compartment syndrome",1,0
"Nodal osteoarthritis",1,0
"Soft tissue mass",1,0
"Kyphosis",1,0
"Scoliosis",1,0
"Spinal stenosis",1,0
"Tendon discomfort",1,0
"Tenosynovitis stenosans",1,0
"Bladder cancer",1,0
"Bone cancer",1,0
"Breast cancer male",1,0
"Breast cancer stage III",1,0
"Brain cancer metastatic",1,0
"Gastrointestinal tract adenoma",1,0
"Hepatocellular carcinoma",1,0
"Hepatoblastoma",1,0
"Squamous cell carcinoma of the oral cavity",1,0
"Lymphoproliferative disorder in remission",1,0
"Brain neoplasm",1,0
"Acoustic neuroma",1,0
"Eye naevus",1,0
"Oesophageal carcinoma",1,0
"Oesophageal squamous cell carcinoma",1,0
"Pancreatic carcinoma",1,0
"Plasma cell myeloma",1,0
"Clear cell renal cell carcinoma",1,0
"Metastatic renal cell carcinoma",1,0
"Maxillofacial sinus neoplasm",1,0
"Salivary gland cancer stage III",1,0
"Acral lentiginous melanoma stage III",1,0
"Malignant melanoma",1,0
"Melanocytic naevus",1,0
"Squamous cell carcinoma of skin",1,0
"Knuckle pads",1,0
"Lipoma",1,0
"Uterine leiomyoma",1,0
"Poor sucking reflex",1,0
"Reflexes abnormal",1,0
"Subacute inflammatory demyelinating polyneuropathy",1,0
"Acoustic neuritis",1,0
"Orthostatic intolerance",1,0
"Basal ganglia stroke",1,0
"Brain stem infarction",1,1
"Brain stem stroke",1,0
"Carotid artery occlusion",1,0
"Carotid artery thrombosis",1,0
"Cerebellar haemorrhage",1,0
"Cerebellar infarction",1,0
"Cerebral artery embolism",1,0
"Cerebral haematoma",1,0
"Cerebral ischaemia",1,0
"Haemorrhagic cerebral infarction",1,1
"Intracranial haematoma",1,1
"Lacunar infarction",1,0
"Arachnoiditis",1,0
"Neurosarcoidosis",1,0
"Cerebral congestion",1,0
"Cerebral small vessel ischaemic disease",1,0
"Internal carotid artery deformity",1,0
"Chorea",1,0
"Sydenham's chorea",1,0
"Cerebellar ataxia",1,0
"Apraxia",1,0
"Dysgraphia",1,0
"Cranial nerve disorder",1,0
"Frontotemporal dementia",1,0
"Senile dementia",1,0
"Acute disseminated encephalomyelitis",1,0
"Postictal state",1,0
"Advanced sleep phase",1,0
"Circadian rhythm sleep disorder",1,0
"Irregular sleep phase",1,0
"Hypoxic-ischaemic encephalopathy",1,0
"Posterior reversible encephalopathy syndrome",1,0
"Ophthalmoplegic migraine",1,0
"Post-traumatic headache",1,0
"Brain compression",1,0
"Status migrainosus",1,0
"Diabetic mononeuropathy",1,0
"Piriformis syndrome",1,0
"Sciatic nerve neuropathy",1,0
"Ulnar nerve palsy",1,0
"Ulnar neuritis",1,0
"Relapsing multiple sclerosis",1,0
"Serotonin syndrome",1,0
"Cataplexy",1,0
"Pineal gland cyst",1,0
"Cerebral disorder",1,0
"Hyporesponsive to stimuli",1,0
"Neurological decompensation",1,0
"Patient elopement",1,0
"Pleocytosis",1,0
"Neuromyotonia",1,0
"Myasthenia gravis crisis",1,0
"Lhermitte's sign",1,0
"Paraplegia",1,0
"Peripheral nerve palsy",1,0
"Postictal paralysis",1,0
"Quadriplegia",1,0
"Peripheral sensory neuropathy",1,0
"Small fibre neuropathy",1,0
"Alcoholic seizure",1,0
"Epileptic aura",1,0
"Migraine-triggered seizure",1,0
"Seizure anoxic",1,0
"Tonic clonic movements",1,0
"Persistent genital arousal disorder",1,0
"Microsleep",1,0
"Cauda equina syndrome",1,0
"Radiculopathy",1,0
"Asterixis",1,0
"Intention tremor",1,0
"Postural tremor",1,0
"Numb chin syndrome",1,0
"Trigeminal neuritis",1,0
"Trigeminal palsy",1,0
"Face presentation",1,0
"Precipitate labour",1,0
"Premature rupture of membranes",1,0
"Pelvic girdle pain",1,0
"Delivery",1,0
"Foetal death",1,1
"Pregnancy after post coital contraception",1,0
"Pregnancy on contraceptive",1,0
"Pregnancy with contraceptive device",1,0
"Unwanted pregnancy",1,0
"Device electrical impedance issue",1,0
"Patient-device incompatibility",1,0
"Stent malfunction",1,0
"Undersensing",1,0
"Needle issue",1,0
"Product contamination",1,0
"Product label issue",1,0
"Product physical issue",1,0
"Product origin unknown",1,0
"Generalised anxiety disorder",1,0
"Neurosis",1,0
"Asocial behaviour",1,0
"Impatience",1,0
"Personality change",1,0
"Social avoidant behaviour",1,0
"Soliloquy",1,0
"Change in sustained attention",1,0
"Communication disorder",1,0
"Speech sound disorder",1,0
"Thought withdrawal",1,0
"Mixed anxiety and depressive disorder",1,0
"Dissociative disorder",1,0
"Dysphoria",1,0
"Fear of disease",1,0
"Fear of eating",1,0
"Fear of open spaces",1,0
"Paruresis",1,0
"Hallucination, tactile",1,0
"Impulsive behaviour",1,0
"Emotional disorder of childhood",1,0
"Mental status changes",1,0
"Neuropsychiatric symptoms",1,0
"Sense of a foreshortened future",1,0
"Compulsive shopping",1,0
"Dermatillomania",1,0
"Obsessive thoughts",1,0
"Obsessive-compulsive disorder",1,0
"Premature ejaculation",1,0
"Limited symptom panic attack",1,0
"Sleep inertia",1,0
"Autism spectrum disorder",1,0
"Psychiatric symptom",1,0
"Acute psychosis",1,0
"Psychotic behaviour",1,0
"Schizophrenia",1,0
"Gender dysphoria",1,0
"Sleep disorder due to general medical condition, insomnia type",1,0
"Illness anxiety disorder",1,0
"Somatic symptom disorder",1,0
"Pedantic speech",1,0
"Verbigeration",1,0
"Lack of spontaneous speech",1,0
"Waxy flexibility",1,0
"Alcohol abuse",1,0
"Alcoholism",1,0
"Drug dependence",1,0
"Substance abuse",1,0
"Suicide threat",1,0
"Confabulation",1,0
"Thought blocking",1,0
"Bladder spasm",1,0
"Micturition frequency decreased",1,0
"Mixed incontinence",1,0
"Urethral pain",1,0
"Urge incontinence",1,0
"Bladder dilatation",1,0
"Cystitis noninfective",1,0
"Urinary tract disorder",1,0
"Anti-glomerular basement membrane disease",1,0
"Automatic bladder",1,0
"Bladder dysfunction",1,0
"Neurogenic bladder",1,0
"Tubulointerstitial nephritis",1,0
"Nephropathy",1,0
"Anuria",1,0
"Kidney enlargement",1,0
"Renal atrophy",1,0
"Renal vein thrombosis",1,0
"Urethral spasm",1,0
"Glycosuria",1,0
"Urinary tract discomfort",1,0
"Breast cyst",1,0
"Breast disorder",1,0
"Breast inflammation",1,0
"Nipple inflammation",1,0
"Breast discharge",1,0
"Breast engorgement",1,0
"Breast oedema",1,0
"Nipple swelling",1,0
"Ejaculation delayed",1,0
"Ejaculation failure",1,0
"Painful erection",1,0
"Retrograde ejaculation",1,0
"Spontaneous penile erection",1,0
"Noninfective oophoritis",1,0
"Lactation puerperal increased",1,0
"Artificial menopause",1,0
"Abnormal withdrawal bleeding",1,0
"Premenstrual syndrome",1,0
"Ovarian cyst ruptured",1,0
"Ovarian enlargement",1,0
"Ovarian necrosis",1,0
"Ovarian vein thrombosis",1,0
"Ovulation pain",1,0
"Vaginal prolapse",1,0
"Pelvic haemorrhage",1,0
"Balanoposthitis",1,0
"Penile burning sensation",1,0
"Penile curvature",1,0
"Penile pain",1,0
"Benign prostatic hyperplasia",1,0
"Female genital tract fistula",1,0
"Genital hyperaesthesia",1,0
"Genital tract inflammation",1,0
"Genital erythema",1,0
"Pruritus genital",1,0
"Scrotal oedema",1,0
"Female sexual dysfunction",1,0
"Sexual dysfunction",1,0
"Semen discolouration",1,0
"Testicular disorder",1,0
"Testicular retraction",1,0
"Uterine enlargement",1,0
"Uterine pain",1,0
"Vulvovaginal inflammation",1,0
"Vaginal cyst",1,0
"Vulvovaginal ulceration",1,0
"Enlarged clitoris",1,0
"Vulval oedema",1,0
"Vulvovaginal discomfort",1,0
"Vulvovaginal dryness",1,0
"Vulvovaginal erythema",1,0
"Apnoeic attack",1,0
"Dyspnoea paroxysmal nocturnal",1,0
"Grunting",1,0
"Hypoventilation",1,0
"Aspirin-exacerbated respiratory disease",1,0
"Asthma late onset",1,0
"Reversible airways obstruction",1,0
"Asphyxia",1,0
"Hypercapnia",1,0
"Sputum increased",1,0
"Reflux laryngitis",1,0
"Laryngospasm",1,0
"Alveolitis",1,0
"Pulmonary haemorrhage",1,0
"Rhinitis perennial",1,0
"Intranasal hypoaesthesia",1,0
"Nasal cyst",1,0
"Nasal disorder",1,0
"Gasping syndrome",1,0
"Paranasal sinus inflammation",1,0
"Emphysema",1,0
"Idiopathic pulmonary fibrosis",1,0
"Lung consolidation",1,0
"Lung infiltration",1,0
"Pulmonary cavitation",1,0
"Oropharyngeal swelling",1,0
"Pharyngeal haemorrhage",1,0
"Tonsillar disorder",1,0
"Lupus pleurisy",1,0
"Acute respiratory distress syndrome",1,0
"Pulmonary infarction",1,1
"Chronic respiratory disease",1,0
"Respiratory tract haemorrhage",1,0
"Respiratory muscle weakness",1,0
"Tracheal fistula",1,0
"Tracheal pain",1,0
"Laryngeal pain",1,0
"Throat lesion",1,0
"Upper respiratory tract congestion",1,0
"Acne cystic",1,0
"Dermatitis acneiform",1,0
"Alopecia totalis",1,0
"Alopecia universalis",1,0
"Diffuse alopecia",1,0
"Madarosis",1,0
"Circumoral oedema",1,0
"Anhidrosis",1,0
"Sweat discolouration",1,0
"Sweat gland disorder",1,0
"Oedema blister",1,0
"Pemphigus",1,0
"Subacute cutaneous lupus erythematosus",1,0
"Myxoid cyst",1,0
"Peau d'orange",1,0
"Skin fragility",1,0
"Skin indentation",1,0
"Skin necrosis",1,0
"Skin plaque",1,0
"Skin texture abnormal",1,0
"Skin weeping",1,0
"Sticky skin",1,0
"Dermatitis contact",1,0
"Dermatitis diaper",1,0
"Eczema nummular",1,0
"Eczema weeping",1,0
"Prurigo",1,0
"Rebound eczema",1,0
"Stasis dermatitis",1,0
"Palmar-plantar erythrodysaesthesia syndrome",1,0
"Erythema ab igne",1,0
"Solar lentigo",1,0
"Skin depigmentation",1,0
"Skin hypopigmentation",1,0
"Nail bed disorder",1,0
"Nail bed tenderness",1,0
"Nail disorder",1,0
"Nail hypertrophy",1,0
"Nail pigmentation",1,0
"Nail pitting",1,0
"Nail ridging",1,0
"Onychomadesis",1,0
"Erythema annulare",1,0
"Pityriasis rubra pilaris",1,0
"Polymorphic light eruption",1,0
"Hair colour changes",1,0
"Hair disorder",1,0
"Hair growth abnormal",1,0
"Hair texture abnormal",1,0
"Itching scar",1,0
"Pruritus allergic",1,0
"Pustular psoriasis",1,0
"Ecchymosis",1,0
"Rash rubelliform",1,0
"Pityriasis",1,0
"Diabetic foot",1,0
"Skin wrinkling",1,0
"Skin hypertrophy",1,0
"Skin atrophy",1,0
"Skin striae",1,0
"Actinic keratosis",1,0
"Leukoplakia",1,0
"Cold urticaria",1,0
"Urticaria papular",1,0
"Childhood",1,0
"Menopause",1,0
"Chemical submission",1,0
"Inadequate diet",1,0
"Dependence on oxygen therapy",1,0
"Disability",1,0
"Immobilisation prolonged",1,0
"Sitting disability",1,0
"Food contamination",1,0
"Water pollution",1,0
"Contraindication to medical treatment",1,0
"Convalescent",1,0
"Impaired quality of life",1,0
"Non-tobacco user",1,0
"Local anaesthesia",1,0
"Nerve block",1,0
"Analgesic therapy",1,0
"Photopheresis",1,0
"Axillary lymphadenectomy",1,0
"Airway secretion clearance therapy",1,0
"Pacemaker generated rhythm",1,0
"Pericardial excision",1,0
"Contraceptive diaphragm",1,0
"Fluid replacement",1,0
"Medical diet",1,0
"Nothing by mouth order",1,0
"Cerumen removal",1,0
"Eye irrigation",1,0
"Prophylaxis against gastrointestinal ulcer",1,0
"Abortion induced",1,0
"Hip surgery",1,0
"Joint injection",1,0
"Appendicectomy",1,0
"Limb reattachment surgery",1,0
"Toe amputation",1,0
"Breast conserving surgery",1,0
"Muscle relaxant therapy",1,0
"Nasal irrigation",1,0
"Prone position",1,0
"Dermal filler injection",1,0
"Spinal operation",1,0
"Catheter management",1,0
"Catheter placement",1,0
"Fatigue management",1,0
"Manipulation",1,0
"Product used for unknown indication",1,0
"Self-medication",1,0
"Smoking cessation therapy",1,0
"Specialist consultation",1,0
"Surgery",1,0
"Therapy change",1,0
"Endometrial ablation",1,0
"Thrombectomy",1,0
"Thromboembolectomy",1,0
"Hypertensive emergency",1,0
"Hypertensive urgency",1,0
"Malignant hypertension",1,0
"Tyramine reaction",1,0
"Artery dissection",1,0
"Arteritis",1,0
"Labile blood pressure",1,0
"Achenbach syndrome",1,0
"Venous haemorrhage",1,0
"Thrombophlebitis migrans",1,0
"Arterial occlusive disease",1,0
"Arterial spasm",1,0
"Arteriosclerosis",1,0
"Infarction",1,0
"Ischaemia",1,0
"Capillary fragility",1,0
"Neovascularisation",1,0
"Vascular rupture",1,0
"Vein disorder",1,0
"Iliac artery embolism",1,0
"Jugular vein thrombosis",1,0
"Pelvic venous thrombosis",1,0
"Peripheral artery thrombosis",1,0
"Peripheral embolism",1,0
"Extremity necrosis",1,0
"Peripheral ischaemia",1,0
"Plethoric face",1,0
"Diastolic hypertension",1,0
"Diffuse vasculitis",1,1
"Vena cava thrombosis",1,0
"Completed suicide",0,0
